question,engaging
is there a place near where you live where you take your family swimming?,1
what month is this event taking place in?,1
is this a birthday celebration with friends and families?,1
what cake flavor would you want for your birthday?,1
what’s your go to place for a party in the summer?,1
what color is the majority of the spray paint in the last image?,1
do you agree or disagree with graffiti being considered art?,1
which one of these tags is your personal favorite?,1
what art would you like to have in your house?,1
i wonder where this place is at in the photos?,1
have you been to a territory with river surrounded by houses ?,1
how attractive is a house in the middle of a forest and a water body behind it?,1
do you think the man preferred the castle or the mountains?,1
do you ever go to see castles?,1
would you rather live here or in the suburbs?,1
do you like to be alone in nature?,1
what may the place that is shown in the image ?,1
have you been lived in the place where you have seen in the images?,1
i wonder what city these photos above were taken in?,1
what would you like to do at this park?,1
do you like fireworks or do you find them obnoxious?,1
what kinds of fireworks usually takes your breath away?,1
which celebration is being celebrated and the fireworks to be set off?,1
have you celebrated the festivals with fireworks?,1
i wonder what event these fireworks are being set off for?,1
what's your favorite board game from your youth?,1
"if you had a service robot, what tasks would you have it do?",1
why are there no food items kept for eating for the gathering?,1
what types cosplay event do you like to go too?,1
would the blue makeup come off with soap and water?,1
have you been lived in the places like this in the images?,1
do you prefer to take the bus or drive?,1
what city is this with beautiful old architecture and modern transportation?,1
does anyone know where the clock tower is located at in the picture?,1
is there have any sort of water content?,1
why is that man playing billiards by himself?,1
are you good at playing the game of pool?,1
did the birthday boy win the pool game too?,1
what sport is that man playing? what hand has sown?,1
how did you celebrate your last birthday party?,1
is the university of new mexico a state school?,1
how did you feel when you were getting the graduation?,1
did you know anyone who graduated from this class?,1
what is your favorite part of a graduation ceremony?,1
what's the last graduation you attended and why?,1
which place is this ? why is the place so empty? is it coviod impact?,1
are all the pictures about the road and location?,1
what do you think about statues near churches?,1
do you like to drive around and look at buildings?,1
when was the last time you guys went for trip?,1
what were you celebrating and were you singing at that mic?,1
what do you think the announcement was about?,1
which is your families favorite restaurant that everyone wants to g?,1
do you have any pubs in your town?,1
how many lectures have you been to that were outside of the classroom for fun?,1
can you name all the flowers in this bride's bouquet?,1
have you remembered your wedding event and it's celebration?,1
were toy ever a ring bearer or flower carrier?,1
did the flowers smell as pretty as they looked?,1
i wonder if the couple who got married lived happily ever after?,1
where do you guys think the place is fro?,1
"during the times of covid, would you travel to china just for visiting or sightseeing?",1
where do you think i was visiting?,1
the buildings with the roofs that slope like certain hats are in all probability called what?,1
what types of villages have you been to?,1
would you like to stay in a house where it is far from tow?,1
are farm financial conditions stabilizing or just getting more serious?,1
have you ever owned a home? and if so much how much did you pay for it and was willing to pa?,1
how many types of farming are there?,1
is there going any discussion about cultivation or agricultureal farm related matte?,1
what did the mother and daughter do? who does that girl meet?,1
what did you wear to your last party?,1
is there any wood-made fence?,1
i would ask: what are some of your hobbies? do you enjoy the city? what about the mountains?,1
what is your cocktail of choice at a party?,1
do you know someone with a drinking problem?,1
do you stop and chat with random strangers on the street?,1
do you like to enjoy with thos scenario?,1
have you ever rolled around in a giant ball?,1
why do all children like to play games?,1
who would be your favorite person to attend a concert with?,1
are you a fan of any bar band?,1
why do these people like to join this celebration?,1
when was the last time you played with sparklers?,1
did the sun continue to shine all day?,1
why do these people like to join this race?,1
have you ever visited the place like this with your family?,1
why is the little girl plucking the fruit?,1
why is there a broken bus near the rivers?,1
have you ever visited the place like this?,1
why was the room dimly lit while the tem was having some drinks?,1
do you like business gathering and conferences?,1
what's the highest elevation you've ever traveled to?,1
why do these people like to attend this cycling event?,1
what is the oldest building that you have ever visited?,1
does your region have a noteworthy estate?,1
which game is performing in the ground?,1
why did these people like to watch this match?,1
i wonder what school are they all of these people graduating from?,1
when was the last time you joined a graduation ceremony?,1
why do these people like to do this work?,1
what was the reason these people cut down that tree?,1
which child won the race car competition in the street?,1
was their a prize for the winner of the race?,1
what types of sight seeing you enjoing going too se?,1
which foreign city would you like to visit?,1
how do you feel about this shop?,1
how many vehicles do you have ?,1
